EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,19,Yes,Travel_Rarely,549,Human Resources,8,5,Human Resources,1,1,Male,99,4,2,Human Resources,1,Married,5581,21403,4,Y,No,23,4,2,80,3,17,2,1,17,7,8,4
2,24,No,Non-Travel,357,Sales,13,1,Human Resources,1,3,Female,54,1,1,Sales Representative,3,Divorced,12772,9561,4,Y,No,12,4,1,80,3,6,2,3,5,5,14,11
3,40,Yes,Non-Travel,1242,Sales,8,3,Life Sciences,1,2,Male,70,4,3,Sales Representative,2,Single,6616,9007,9,Y,No,25,3,2,80,3,13,3,2,13,8,14,4
4,33,No,Non-Travel,1112,Research & Development,3,1,Life Sciences,1,2,Male,84,1,4,Laboratory Technician,4,Married,15047,21620,7,Y,Yes,19,3,1,80,0,35,5,3,35,17,8,10
5,45,Yes,Non-Travel,1141,Sales,20,2,Medical,1,3,Male,99,1,5,Sales Representative,2,Married,9639,18104,0,Y,No,12,4,3,80,1,10,0,1,10,10,7,2
6,49,No,Travel_Frequently,535,Sales,18,2,Other,1,3,Female,77,4,5,Manager,4,Married,5216,6059,3,Y,Yes,14,3,1,80,1,8,4,2,4,4,7,0
7,58,Yes,Travel_Frequently,540,Sales,18,2,Other,1,4,Male,90,4,2,Manager,3,Single,2038,5270,6,Y,No,16,3,4,80,0,4,5,1,3,3,3,1
8,39,No,Travel_Rarely,256,Research & Development,15,5,Life Sciences,1,1,Male,41,2,2,Manufacturing Director,4,Married,7241,18007,7,Y,No,14,4,1,80,1,12,3,2,6,6,0,12
9,36,Yes,Non-Travel,1212,Research & Development,2,3,Life Sciences,1,1,Female,94,2,1,Research Director,2,Divorced,6081,4719,2,Y,Yes,12,3,2,80,3,31,0,3,27,17,7,1
10,44,No,Travel_Frequently,912,Human Resources,5,3,Technical Degree,1,3,Male,31,4,5,Human Resources,3,Divorced,11375,5370,1,Y,No,19,3,3,80,1,37,2,2,37,18,2,7
11,28,Yes,Travel_Rarely,643,Research & Development,4,1,Other,1,2,Female,66,2,3,Manager,1,Single,18341,24621,4,Y,No,19,3,1,80,0,28,5,3,28,17,13,8
12,39,No,Non-Travel,407,Sales,18,1,Marketing,1,2,Female,46,1,3,Sales Executive,4,Married,15487,3401,5,Y,Yes,14,3,1,80,2,10,6,1,8,8,13,4
13,29,No,Travel_Rarely,885,Sales,28,1,Technical Degree,1,2,Male,88,3,3,Sales Executive,4,Single,11894,9398,0,Y,Yes,21,3,3,80,2,26,6,2,26,0,2,8
14,50,No,Travel_Frequently,180,Research & Development,4,5,Technical Degree,1,3,Female,85,1,4,Manufacturing Director,1,Divorced,1913,8322,4,Y,Yes,11,3,1,80,1,25,2,3,25,17,13,2
15,57,No,Non-Travel,362,Human Resources,7,4,Other,1,4,Male,68,4,5,Manager,3,Single,17626,12051,4,Y,No,14,3,3,80,3,20,3,4,20,3,14,6
16,28,Yes,Travel_Rarely,403,Human Resources,1,1,Medical,1,4,Male,88,4,5,Manager,1,Single,11992,25632,6,Y,No,18,3,2,80,0,32,6,2,5,5,3,13
17,51,No,Non-Travel,1246,Sales,20,3,Technical Degree,1,4,Female,50,4,4,Sales Executive,1,Married,9174,26728,3,Y,Yes,24,3,4,80,1,35,2,4,29,1,14,2
18,33,Yes,Travel_Rarely,540,Human Resources,3,4,Technical Degree,1,3,Female,83,1,2,Manager,1,Married,18708,14856,9,Y,Yes,22,3,4,80,3,20,0,2,17,10,11,9
19,52,No,Non-Travel,1492,Research & Development,26,4,Other,1,2,Female,46,1,4,Research Director,3,Divorced,8199,20587,0,Y,No,12,3,2,80,3,34,1,4,34,7,1,8
20,31,Yes,Travel_Rarely,1206,Research & Development,2,3,Medical,1,1,Male,33,2,2,Manager,3,Single,13432,22453,2,Y,Yes,14,3,1,80,1,29,3,4,29,10,8,11
21,56,No,Travel_Frequently,914,Sales,23,2,Life Sciences,1,2,Male,68,1,5,Manager,1,Single,4551,13471,8,Y,No,17,3,1,80,2,19,0,3,7,5,13,15
22,41,No,Travel_Frequently,1054,Sales,14,5,Marketing,1,3,Male,41,3,4,Sales Representative,2,Single,15279,26685,7,Y,No,20,3,4,80,2,40,0,3,40,14,15,10
23,31,Yes,Travel_Rarely,934,Sales,16,5,Medical,1,4,Female,87,1,1,Sales Representative,3,Married,10172,9355,6,Y,No,22,3,3,80,3,22,4,1,22,8,11,13
24,40,No,Non-Travel,1199,Human Resources,25,2,Medical,1,2,Female,65,3,1,Manager,2,Single,9246,11801,3,Y,No,16,3,1,80,1,29,2,1,29,8,1,1
25,26,No,Travel_Rarely,619,Human Resources,28,4,Life Sciences,1,1,Female,92,1,5,Manager,3,Divorced,1410,24587,0,Y,No,13,3,3,80,0,40,1,4,40,15,3,17
26,56,No,Travel_Frequently,727,Research & Development,19,5,Life Sciences,1,1,Male,57,3,1,Healthcare Representative,4,Single,13473,9953,2,Y,No,19,3,1,80,3,39,3,4,39,7,15,9
27,36,No,Non-Travel,407,Sales,9,2,Life Sciences,1,1,Male,69,3,4,Sales Executive,3,Single,8657,17452,4,Y,No,22,3,3,80,3,18,3,2,18,14,2,1
28,38,No,Travel_Frequently,1282,Research & Development,2,2,Technical Degree,1,4,Female,53,4,4,Manufacturing Director,2,Single,4001,17495,5,Y,No,17,3,1,80,1,38,2,1,38,8,13,15
